Year,Country,Total_Medals,Gold_Medals,Silver_Medals,Bronze_Medals,Total_Athletes,Events_Count,Host_or_Not,Country_Code,population_total,population_growth,GNI_per_capita,GDP,GDP_growth,Region,GDP_per_capita,Population_Percentage,GDP_Percentage,HDI
2012,Denmark,9,2,4,3,114,69,0,DEN,5591570,0.376272,61650,3.27149E+11,0.2265,Europe and Central Asia,58507.5,0.000787002,0.004358548,0.924
2016,Denmark,15,2,6,7,119,67,0,DEN,5728010,0.780393,58040,3.13116E+11,3.24596,Europe and Central Asia,54664,0.000768551,0.004134338,0.928
2004,Dominican Republic,1,1,0,0,33,22,0,DOM,9043130,1.37257,2540,22322400000,2.57013,Latin America and Caribbean,2468.44,0.001405034,0.000510394,0.668
2008,Dominican Republic,2,1,1,0,24,21,0,DOM,9522950,1.27601,4730,48122600000,3.2095,Latin America and Caribbean,5053.33,0.001407496,0.000756363,0.695
2012,Dominican Republic,2,1,1,0,33,21,0,DOM,10030900,1.27564,5730,60681500000,2.71737,Latin America and Caribbean,6049.47,0.001411825,0.000808449,0.71
2016,Dominican Republic,1,0,0,1,26,22,0,DOM,10527600,1.16332,6780,75704600000,6.6592,Latin America and Caribbean,7191.07,0.001412532,0.000999593,0.733
1996,Ecuador,1,1,0,0,19,18,0,ECU,11775200,1.8301,2070,25226400000,1.73175,Latin America and Caribbean,2142.33,0.002037555,0.000800401,0.664
2008,Ecuador,1,0,1,0,25,23,0,ECU,14496800,1.70421,3790,61139400000,6.56492,Latin America and Caribbean,4217.44,0.002142634,0.000960954,0.711
2004,Egypt,5,1,1,3,96,48,0,EGY,77522400,2.03167,1150,78782500000,4.09207,Middle East and North Africa,1016.25,0.01204469,0.001801336,0.628
2008,Egypt,1,0,0,1,100,68,0,EGY,83844800,1.95838,1750,1.62818E+11,7.15628,Middle East and North Africa,1941.9,0.012392301,0.00255908,0.658
2012,Egypt,2,0,2,0,109,87,0,EGY,91240400,2.26159,2690,2.79117E+11,2.2262,Middle East and North Africa,3059.14,0.012841887,0.003718622,0.675
2016,Egypt,3,0,0,3,121,87,0,EGY,99784000,2.0863,3260,3.32442E+11,4.34664,Middle East and North Africa,3331.61,0.013388447,0.004389512,0.694
2004,Eritrea,1,0,0,1,4,3,0,ERI,2763140,4.05296,330,1109050000,1.45174,Sub-Saharan Africa,401.375,0.00042931,2.53582E-05,0.418
2000,Estonia,3,1,0,2,33,29,0,EST,1396990,0.483707,4170,5686580000,10.0876,Europe and Central Asia,4070.61,0.000228623,0.00016989,0.78
2004,Estonia,3,0,1,2,42,34,0,EST,1362550,-0.597821,7500,12145900000,6.80401,Europe and Central Asia,8914.1,0.0002117,0.000277712,0.814
2008,Estonia,2,1,1,0,47,42,0,EST,1337090,-0.268134,15190,24341700000,-5.132,Europe and Central Asia,18205,0.000197623,0.000382588,0.841
2012,Estonia,2,0,1,1,32,30,0,EST,1322700,-0.357944,16760,23019200000,3.2282,Europe and Central Asia,17403.2,0.000186167,0.00030668,0.859
2016,Estonia,1,0,0,1,46,31,0,EST,1315790,0.0291122,18290,24072800000,3.15556,Europe and Central Asia,18295.3,0.000176545,0.000317854,0.868
1992,Ethiopia,3,1,0,2,20,11,0,ETH,52011600,4.06951,230,10754800000,-8.67248,Sub-Saharan Africa,206.777,0.009562802,0.00042846,0.379
1996,Ethiopia,3,2,0,1,18,10,0,ETH,59347600,3.20357,150,8761220000,12.4262,Sub-Saharan Africa,147.625,0.010269371,0.000277982,0.406
2000,Ethiopia,8,4,1,3,26,11,0,ETH,67031900,2.95881,130,8242350000,6.07322,Sub-Saharan Africa,122.962,0.01097006,0.000246246,0.283
2004,Ethiopia,7,2,3,2,26,12,0,ETH,75301000,2.87241,130,10131200000,13.5726,Sub-Saharan Africa,134.542,0.01169955,0.000231646,0.325
2008,Ethiopia,7,4,1,2,27,10,0,ETH,84357100,2.83863,270,27066900000,10.7885,Sub-Saharan Africa,320.861,0.012468022,0.000425422,0.394
2012,Ethiopia,7,3,1,3,33,14,0,ETH,94451300,2.82766,400,43310700000,8.64781,Sub-Saharan Africa,458.551,0.013293815,0.000577021,0.43
2016,Ethiopia,8,1,2,5,37,16,0,ETH,105293000,2.71605,650,74296700000,9.43348,Sub-Saharan Africa,705.618,0.014127639,0.000981004,0.457
2016,Fiji,1,1,0,0,53,14,0,FIJ,918371,0.12759,5010,4930210000,2.44565,East Asia and Pacific,5368.43,0.000123222,6.50978E-05,0.738
1992,Finland,5,1,2,2,88,85,0,FIN,5041990,0.56191,24170,1.12533E+11,-3.29466,Europe and Central Asia,22319.1,0.000927017,0.004483181,0.795
1996,Finland,4,1,2,1,76,74,0,FIN,5124570,0.328038,24970,1.32129E+11,3.66718,Europe and Central Asia,25783.5,0.000886744,0.00419229,0.823
2000,Finland,4,2,1,1,70,64,0,FIN,5176210,0.207607,26480,1.2602E+11,5.77336,Europe and Central Asia,24345.9,0.000847109,0.003764921,0.858
2004,Finland,2,0,2,0,53,53,0,FIN,5228170,0.29035,35380,1.97479E+11,3.99209,Europe and Central Asia,37772.2,0.000812303,0.004515305,0.891
2008,Finland,4,1,1,2,57,55,0,FIN,5313400,0.465549,50160,2.85716E+11,0.783995,Europe and Central Asia,53772.8,0.000785323,0.004490721,0.904
2012,Finland,3,0,1,2,56,61,0,FIN,5413970,0.475809,48970,2.5829E+11,-1.39755,Europe and Central Asia,47708.1,0.000762005,0.003441153,0.908
2016,Finland,1,0,0,1,54,55,0,FIN,5495300,0.287421,45530,2.40771E+11,2.81146,Europe and Central Asia,43814,0.000737328,0.00317911,0.918
1992,France,29,8,5,16,339,196,0,FRA,58849900,0.498037,23840,1.40147E+12,1.59934,Europe and Central Asia,23814.2,0.010820103,0.055832976,0.798
1996,France,37,15,7,15,299,183,0,FRA,59756500,0.356872,27110,1.60568E+12,1.41299,Europe and Central Asia,26870.3,0.010340124,0.050946021,0.83
2000,France,38,13,14,11,336,196,0,FRA,60921400,0.686783,24990,1.36564E+12,3.92367,Europe and Central Asia,22416.4,0.009970053,0.040799428,0.849
2004,France,33,11,9,13,308,193,0,FRA,62716300,0.735098,31450,2.11963E+12,2.82975,Europe and Central Asia,33797.2,0.009744257,0.048464745,0.86
2008,France,41,7,16,18,309,205,0,FRA,64379700,0.557564,43540,2.9303E+12,0.254946,Europe and Central Asia,45516,0.009515351,0.04605679,0.878
2012,France,35,11,11,13,324,188,0,FRA,65662200,0.483953,43410,2.68367E+12,0.313135,Europe and Central Asia,40870.9,0.00924182,0.035754085,0.886
2016,France,42,10,18,14,392,202,0,FRA,66724100,0.263869,39100,2.47296E+12,1.09546,Europe and Central Asia,37062.5,0.008952656,0.032652664,0.899
2012,Gabon,1,0,1,0,21,7,0,GAB,1836710,3.55822,8660,17170500000,5.25108,Sub-Saharan Africa,9348.51,0.000258512,0.000228759,0.678
1996,Georgia,2,0,0,2,34,39,0,GEO,4491700,-3.62955,670,3095050000,11.2025,Europe and Central Asia,689.059,0.000777233,9.82019E-05,0.683
2000,Georgia,6,0,0,6,36,41,0,GEO,4077130,-1.94463,790,3057480000,1.84038,Europe and Central Asia,749.909,0.00066724,9.13442E-05,0.673
2004,Georgia,4,2,2,0,32,38,0,GEO,3927340,-0.619262,1210,5125370000,5.79268,Europe and Central Asia,1305.05,0.000610192,0.00011719,0.701
2008,Georgia,6,3,0,3,35,35,0,GEO,3848450,-0.303791,2820,12795100000,2.42161,Europe and Central Asia,3324.75,0.000568803,0.000201107,0.728
2012,Georgia,7,1,3,3,34,35,0,GEO,3728870,-0.736566,4250,16894400000,6.57883,Europe and Central Asia,4530.7,0.000524831,0.000225081,0.75
2016,Georgia,7,2,1,4,40,40,0,GEO,3727510,0.0598166,4180,15444500000,3.45022,Europe and Central Asia,4143.4,0.000500135,0.000203928,0.776
1992,Germany,82,33,21,28,463,237,0,GER,80624600,0.760347,25810,2.13157E+12,1.92308,Europe and Central Asia,26438.2,0.014823574,0.084919646,0.814
1996,Germany,65,20,18,27,464,234,0,GER,81914800,0.289475,30860,2.49724E+12,0.805823,Europe and Central Asia,30485.9,0.014174341,0.079234383,0.839
2000,Germany,56,13,17,26,422,234,0,GER,82211500,0.135432,26180,1.94798E+12,2.9125,Europe and Central Asia,23694.8,0.013454275,0.058197307,0.868
2004,Germany,49,13,16,20,441,228,0,GER,82516300,-0.0217097,31670,2.81435E+12,1.17509,Europe and Central Asia,34106.7,0.012820584,0.064349314,0.897
2008,Germany,41,16,10,15,420,207,0,GER,82110100,-0.190143,43650,3.74526E+12,0.959879,Europe and Central Asia,45612.7,0.012135913,0.058865856,0.917
2012,Germany,44,11,19,14,383,213,0,GER,80425800,0.187728,46560,3.52714E+12,0.418498,Europe and Central Asia,43855.9,0.011319762,0.046991507,0.928
2016,Germany,42,17,10,15,418,217,0,GER,82348700,0.807219,44280,3.46985E+12,2.23,Europe and Central Asia,42136.1,0.01104907,0.045815444,0.934
1992,Ghana,1,0,0,1,34,13,0,GHA,16241500,2.48152,420,6416100000,3.87942,Sub-Saharan Africa,395.043,0.002986158,0.000255611,0.464
1992,Greece,2,2,0,0,70,53,0,GRE,10399100,0.763883,11200,1.16225E+11,0.7,Europe and Central Asia,11176.5,0.001911963,0.004630273,0.764
1996,Greece,8,4,4,0,121,94,0,GRE,10608800,0.440671,13430,1.45862E+11,2.86213,Europe and Central Asia,13749.1,0.001835721,0.004628003,0.772
2000,Greece,13,4,6,3,140,114,0,GRE,10805800,0.409042,13350,1.30458E+11,3.91977,Europe and Central Asia,12072.9,0.001768418,0.003897516,0.796
2004,Greece,16,6,6,4,426,215,1,GRE,10955100,0.247414,19640,2.40964E+11,5.06099,Europe and Central Asia,21995.5,0.001702105,0.005509556,0.835
2008,Greece,4,0,2,2,152,105,0,GRE,11077800,0.265458,28710,3.55909E+11,-0.335173,Europe and Central Asia,32128,0.00163731,0.005593963,0.857
2012,Greece,2,0,0,2,102,76,0,GRE,11045000,-0.540753,23180,2.42029E+11,-7.0867,Europe and Central Asia,21913,0.001554562,0.003224514,0.854
2016,Greece,6,3,1,2,92,65,0,GRE,10776000,-0.415913,18640,1.93148E+11,-0.487173,Europe and Central Asia,17924,0.001445858,0.0025503,0.868
2012,Grenada,1,1,0,0,8,8,0,GRD,115912,0.861245,6520,799881000,-1.15484,Latin America and Caribbean,6900.77,1.63144E-05,1.06567E-05,0.749
2016,Grenada,1,0,1,0,6,4,0,GRD,119966,0.825296,7680,1061640000,3.7396,Latin America and Caribbean,8849.51,1.60963E-05,1.40178E-05,0.77
2012,Guatemala,1,0,1,0,19,21,0,GUA,14781900,1.7775,3160,49593900000,2.97471,Latin America and Caribbean,3355.03,0.002080527,0.000660731,0.613
1996,Hong Kong,1,1,0,0,23,25,0,HKG,6435500,4.43861,24140,1.59718E+11,4.25857,East Asia and Pacific,24818.3,0.001113583,0.005067654,0.811
2004,Hong Kong,1,0,1,0,32,29,0,HKG,6783500,0.779919,28120,1.691E+11,8.7001,East Asia and Pacific,24928.1,0.001053955,0.003866413,0.862
2012,Hong Kong,1,0,0,1,41,44,0,HKG,7150100,1.10396,36340,2.62629E+11,1.70031,East Asia and Pacific,36730.8,0.001006361,0.003498958,0.911
1992,Hungary,30,11,12,7,215,156,0,HUN,10369300,-0.0391366,3310,38730600000,-3.06418,Europe and Central Asia,3735.11,0.001906499,0.001542987,0.71
1996,Hungary,21,7,4,10,212,145,0,HUN,10311200,-0.171772,4370,46658800000,0.0824133,Europe and Central Asia,4525.04,0.001784231,0.001480423,0.746
2000,Hungary,17,8,6,3,178,137,0,HUN,10211000,-0.259765,4620,47218400000,4.47919,Europe and Central Asia,4624.28,0.00167107,0.001410682,0.769
2004,Hungary,17,8,6,3,208,138,0,HUN,10107100,-0.221439,8650,1.04121E+11,5.00462,Europe and Central Asia,10301.7,0.001570351,0.00238069,0.795
2008,Hungary,10,3,5,2,170,126,0,HUN,10038200,-0.175097,13250,1.58326E+11,1.00394,Europe and Central Asia,15772.3,0.001483649,0.002488469,0.818
2012,Hungary,18,8,4,6,151,111,0,HUN,9920360,-0.516438,13080,1.28814E+11,-1.25023,Europe and Central Asia,12984.8,0.00139627,0.00171617,0.83
2016,Hungary,15,8,3,4,153,113,0,HUN,9814020,-0.295111,13100,1.2861E+11,2.201,Europe and Central Asia,13104.7,0.001316789,0.001698146,0.835
2000,Iceland,1,0,0,1,18,28,0,ISL,281205,1.36919,31730,9025660000,4.98504,Europe and Central Asia,32096.4,4.60204E-05,0.000269648,0.86
2008,Iceland,1,0,1,0,27,18,0,ISL,317414,1.85957,52430,18074600000,2.2095,Europe and Central Asia,56943.4,4.69139E-05,0.000284086,0.89
1996,India,1,0,0,1,49,31,0,IND,983281000,1.95144,400,3.92897E+11,7.54952,South Asia,399.577,0.170144567,0.012466116,0.467
2000,India,1,0,0,1,65,38,0,IND,1059630000,1.82218,440,4.68396E+11,3.84099,South Asia,442.035,0.173413715,0.01399364,0.493
2004,India,1,0,1,0,73,43,0,IND,1136260000,1.67281,600,7.09153E+11,7.92294,South Asia,624.109,0.176541876,0.016214554,0.526
2008,India,3,1,0,2,53,48,0,IND,1206730000,1.42239,990,1.1989E+12,3.0867,South Asia,993.503,0.178356004,0.018843528,0.564
2012,India,6,0,2,4,81,55,0,IND,1274490000,1.33219,1470,1.82764E+12,5.45639,South Asia,1434.02,0.179381346,0.024349293,0.6
2016,India,2,0,1,1,112,67,0,IND,1338640000,1.18505,1680,2.2948E+12,8.25631,South Asia,1714.28,0.17961052,0.030300167,0.636
1992,Indonesia,5,2,2,1,42,31,0,INA,188558000,1.71014,660,1.28027E+11,6.49751,East Asia and Pacific,678.978,0.034668198,0.005100464,0.539
1996,Indonesia,4,1,1,2,40,23,0,INA,201374000,1.61882,1080,2.2737E+11,7.81819,East Asia and Pacific,1129.09,0.034845226,0.00721415,0.577
2000,Indonesia,6,1,3,2,47,32,0,INA,214072000,1.44709,570,1.65021E+11,4.92007,East Asia and Pacific,770.865,0.035033894,0.004930117,0.606
2004,Indonesia,4,1,1,2,38,27,0,INA,225939000,1.27323,1070,2.56837E+11,5.03087,East Asia and Pacific,1136.76,0.035104169,0.005872494,0.629
2008,Indonesia,5,1,1,3,24,17,0,INA,237937000,1.30217,1920,5.10229E+11,6.0137,East Asia and Pacific,2144.39,0.035167139,0.008019473,0.646
2012,Indonesia,2,0,1,1,22,16,0,INA,250223000,1.25594,3550,9.1787E+11,6.03005,East Asia and Pacific,3668.21,0.035218308,0.012228619,0.675
2016,Indonesia,3,1,2,0,28,20,0,INA,261850000,1.05894,3400,9.31877E+11,5.03307,East Asia and Pacific,3558.82,0.03513355,0.012304374,0.691
1996,Iran,3,1,1,1,18,18,0,IRN,61598400,1.31311,1630,1.20404E+11,6.35053,Middle East and North Africa,1954.66,0.010658832,0.003820263,0.647
2000,Iran,4,3,0,1,33,33,0,IRN,65544400,1.64539,1770,1.09592E+11,5.84553,Middle East and North Africa,1672.02,0.010726627,0.003274128,0.67
2004,Iran,6,2,2,2,37,35,0,IRN,69061700,1.61586,2510,1.90043E+11,4.33667,Middle East and North Africa,2751.79,0.01073014,0.004345283,0.691
2008,Iran,2,1,0,1,54,40,0,IRN,73318400,1.37189,4890,4.12336E+11,0.250857,Middle East and North Africa,5623.91,0.010836495,0.006480857,0.741
2012,Iran,12,4,5,3,52,51,0,IRN,77324500,1.27743,7490,6.44036E+11,-3.74717,Middle East and North Africa,8329,0.010883251,0.008580372,0.781
2016,Iran,8,3,1,4,63,46,0,IRN,83306200,1.83581,5470,4.57955E+11,8.81509,Middle East and North Africa,5497.24,0.011177551,0.006046767,0.796
1992,Ireland,2,1,1,0,58,47,0,IRL,3558430,0.682257,14440,55918500000,3.34327,Europe and Central Asia,15714.4,0.00065425,0.002227738,0.773
1996,Ireland,4,3,0,1,78,70,0,IRL,3637510,0.791271,18880,75790800000,7.37963,Europe and Central Asia,20835.9,0.000629426,0.002404745,0.801
2000,Ireland,1,0,1,0,64,52,0,IRL,3805170,1.33304,24130,1.00208E+11,9.40352,Europe and Central Asia,26334.6,0.000622733,0.002993772,0.857
2008,Ireland,3,0,1,2,55,43,0,IRL,4489540,2.03871,50940,2.75447E+11,-4.48407,Europe and Central Asia,61353.1,0.000663557,0.004329321,0.908
2012,Ireland,5,1,1,3,64,54,0,IRL,4599530,0.423744,40820,2.25119E+11,-0.129692,Europe and Central Asia,48943.8,0.000647374,0.002999217,0.902
2016,Ireland,2,0,2,0,76,57,0,IRL,4755340,1.12883,51740,2.98559E+11,1.76556,Europe and Central Asia,62784.1,0.000638043,0.003942133,0.934
1992,Israel,2,0,1,1,30,42,0,ISR,5123000,3.45547,15110,79002400000,7.75927,Middle East and North Africa,15421.1,0.000941911,0.003147376,0.807
1996,Israel,1,0,0,1,25,26,0,ISR,5692000,2.61651,19270,1.14506E+11,5.92829,Middle East and North Africa,20117,0.00098493,0.003633125,0.828
2000,Israel,1,0,0,1,39,43,0,ISR,6289000,2.64233,19990,1.36036E+11,8.67166,Middle East and North Africa,21630.7,0.001029223,0.004064163,0.853
2004,Israel,2,1,0,1,36,41,0,ISR,6809000,1.76762,20670,1.39973E+11,4.78447,Middle East and North Africa,20557.1,0.001057917,0.003200442,0.868
2008,Israel,1,0,0,1,43,47,0,ISR,7308800,1.77658,26900,2.20531E+11,3.25116,Middle East and North Africa,30173.4,0.001080244,0.003466177,0.88
2016,Israel,2,0,0,2,47,45,0,ISR,8546000,1.96035,36840,3.22103E+11,4.52168,Middle East and North Africa,37690.5,0.001146653,0.004252999,0.902
1992,Italy,19,6,5,8,304,169,0,ITA,56797100,0.0679244,22960,1.32016E+12,0.834275,Europe and Central Asia,23243.5,0.010442667,0.052593896,0.78
1996,Italy,35,13,10,12,340,172,0,ITA,56860300,0.0281044,21830,1.31243E+12,1.26678,Europe and Central Asia,23081.6,0.009838963,0.041641618,0.806
2000,Italy,34,13,8,13,361,175,0,ITA,56942100,0.0453036,21910,1.14668E+12,3.78696,Europe and Central Asia,20137.6,0.009318827,0.034257764,0.83
2004,Italy,32,10,11,11,364,175,0,ITA,57685300,0.647183,28360,1.80654E+12,1.42359,Europe and Central Asia,31317.2,0.008962592,0.041306036,0.852
2008,Italy,27,8,9,10,333,190,0,ITA,58826700,0.662469,37980,2.40866E+12,-0.962013,Europe and Central Asia,40944.9,0.00869462,0.037857827,0.868
2012,Italy,28,8,9,11,281,169,0,ITA,59539700,0.269541,36220,2.08696E+12,-2.98091,Europe and Central Asia,35051.5,0.008380088,0.027804169,0.874
2016,Italy,28,8,12,8,309,171,0,ITA,60627500,-0.169884,31970,1.87707E+12,1.29346,Europe and Central Asia,30960.7,0.008134649,0.024784584,0.878
1992,Jamaica,4,0,3,1,36,23,0,JAM,2434570,0.937066,1630,3535460000,1.95554,Latin America and Caribbean,1452.19,0.000447619,0.000140849,0.645
1996,Jamaica,6,1,3,2,46,29,0,JAM,2532890,0.933,2550,7393890000,-0.113731,Latin America and Caribbean,2919.15,0.000438286,0.000234599,0.66
2000,Jamaica,9,0,6,3,48,28,0,JAM,2612210,0.611851,3290,9005060000,0.878704,Latin America and Caribbean,3447.3,0.000427499,0.000269033,0.662
2004,Jamaica,5,2,1,2,47,27,0,JAM,2664020,0.489065,3740,10174700000,1.32373,Latin America and Caribbean,3819.28,0.00041391,0.000232641,0.691
2008,Jamaica,9,5,2,2,50,29,0,JAM,2711370,0.375126,4680,13709400000,-0.811737,Latin America and Caribbean,5056.26,0.000400742,0.000215476,0.708
2012,Jamaica,12,4,4,4,45,25,0,JAM,2759820,0.495752,5130,14807100000,-0.613636,Latin America and Caribbean,5365.24,0.000388438,0.000197272,0.721
2016,Jamaica,11,6,3,2,56,32,0,JAM,2802700,0.294794,4770,14077100000,1.37522,Latin America and Caribbean,5022.7,0.000376049,0.000185872,0.732
1992,Japan,22,3,8,11,256,166,0,JPN,124425000,0.371192,31030,3.9807E+12,0.900586,East Asia and Pacific,31992.8,0.02287668,0.158587152,0.824
1996,Japan,14,3,6,5,306,168,0,JPN,125757000,0.226885,43940,4.92339E+12,3.13387,East Asia and Pacific,39150,0.021760682,0.156212928,0.845
2000,Japan,18,5,8,5,266,156,0,JPN,126843000,0.167276,36810,4.96836E+12,2.76465,East Asia and Pacific,39169.4,0.020758415,0.148433159,0.855
2004,Japan,37,16,9,12,305,169,0,JPN,127761000,0.0336623,39000,4.89312E+12,2.18612,East Asia and Pacific,38299,0.019850277,0.111879555,0.869
2008,Japan,25,9,7,9,332,176,0,JPN,128063000,0.0484254,39380,5.10668E+12,-1.22429,East Asia and Pacific,39876.3,0.018927775,0.080263776,0.881
2012,Japan,38,7,14,17,291,178,0,JPN,127629000,-0.159711,50060,6.27236E+12,1.37475,East Asia and Pacific,49145.3,0.017963508,0.083565586,0.895
2016,Japan,41,12,8,21,335,186,0,JPN,127076000,-0.0511374,38460,5.00368E+12,0.753827,East Asia and Pacific,39375.5,0.017050326,0.066067837,0.907
2016,Jordan,1,1,0,0,8,8,0,JOR,9964660,4.83585,3830,39892600000,1.99418,Middle East and North Africa,4003.4,0.001337,0.000526735,0.735
1996,Kazakhstan,11,3,4,4,96,99,0,KAZ,15578200,-1.51632,1340,21035400000,0.5,Europe and Central Asia,1350.31,0.002695618,0.000667425,0.666
2000,Kazakhstan,7,3,4,0,130,104,0,KAZ,14883600,-0.300201,1270,18292000000,9.8,Europe and Central Asia,1229,0.002435771,0.000546486,0.685
2004,Kazakhstan,8,1,4,3,114,95,0,KAZ,15013000,0.694909,2300,43151600000,9.6,Europe and Central Asia,2874.29,0.002332573,0.000986649,0.737
2008,Kazakhstan,13,2,4,7,130,106,0,KAZ,15776900,1.87296,6110,1.33442E+11,3.3,Europe and Central Asia,8458.02,0.002331839,0.002097357,0.759
2012,Kazakhstan,13,7,1,5,113,106,0,KAZ,16792100,1.40868,9940,2.07999E+11,4.8,Europe and Central Asia,12386.7,0.002363451,0.002771128,0.781
2016,Kazakhstan,18,3,5,10,101,98,0,KAZ,17794100,1.42205,8770,1.37278E+11,1.1,Europe and Central Asia,7714.84,0.002387504,0.001812603,0.797
1992,Kenya,8,2,4,2,49,29,0,KEN,24655700,3.03679,340,8209120000,-0.799494,Sub-Saharan Africa,332.95,0.004533181,0.000327043,0.463
1996,Kenya,8,1,4,3,52,27,0,KEN,27615700,2.70647,350,12045900000,4.14684,Sub-Saharan Africa,436.196,0.004778559,0.0003822,0.455
2000,Kenya,7,2,3,2,56,24,0,KEN,30851600,2.91545,430,12705400000,0.599695,Sub-Saharan Africa,411.821,0.005049001,0.000379581,0.451
2004,Kenya,7,1,4,2,46,16,0,KEN,34791800,2.98952,460,16095300000,5.1043,Sub-Saharan Africa,462.618,0.005405621,0.000368015,0.48
2008,Kenya,15,6,4,5,46,24,0,KEN,39186900,2.97885,830,35895200000,0.232283,Sub-Saharan Africa,915.999,0.005791843,0.000564179,0.523
2012,Kenya,11,2,4,5,47,23,0,KEN,43725800,2.52596,1060,56396700000,4.56868,Sub-Saharan Africa,1289.78,0.006154314,0.000751363,0.559
2016,Kenya,13,6,6,1,79,29,0,KEN,47894700,2.20215,1500,74815100000,4.21352,Sub-Saharan Africa,1562.08,0.006426231,0.000987848,0.585
